No.,번역명,원어명,작곡가,수록일,Easy lv,Normal lv,Hard lv,Expert lv,Master lv
23,아이돌 신예대,アイドル新?隊 ,Mitchie M,2020. 09. 30. ,8,12,17,24,29
24,Ready Steady,Ready Steady,Giga,2020. 09. 30. ,5,10,16,25,29
25,세상은 아직 시작조차 하지 않았어,セカイはまだ始まってすらいない ,ピノキオピ?,2020. 09. 30. ,6,13,16,24,29
26,후회한다 쓰고 미래,悔やむと書いてミライ ,まふまふ,2020. 09. 30. ,8,13,17,26,30
27,세카이,セカイ ,kemu,2020. 09. 30. ,6,12,18,23,27
28,와 와 월드,ワ?ワ?ワ?ルド ,"Giga, Mitchie M",2020. 09. 30. ,7,12,17,24,29
29,내일의 밤하늘 초계반,アスノヨゾラ哨戒班 ,Orangestar,2020. 10. 01. ,8,12,17,25,29
30,니아,ニア ,夏代 孝明,2020. 10. 02. ,6,11,16,22,27
31,Just Be Friends,Just Be Friends,Dixie Flatline,2020. 10. 03. ,6,11,17,23,28
32,탈법 록,?法ロック ,Neru,2020. 10. 04. ,7,13,18,26,31
33,생명에게 미움받고 있어.,命に嫌われている。 ,カンザキ イオリ,2020. 10. 05. ,9,14,18,26,30
34,월드 이즈 마인,ワ?ルドイズマイン ,ryo,2020. 10. 06. ,7,13,17,24,29
35,댄스 로봇 댄스,ダンスロボットダンス ,ナユタン星人,2020. 10. 07. ,8,13,18,26,30
36,Hand in Hand,Hand in Hand,kz(livetune),2020. 10. 08. ,6,13,16,23,28
37,요바나시 디세이브,夜?ディセイブ  ,じん,2020. 10. 09. ,8,14,19,26,30
38,Gimme×Gimme,Gimme×Gimme,"八王子P, Giga",2020. 10. 10. ,6,11,18,26,29
39,비바해피,ビバハピ ,Mitchie M,2020. 10. 11. ,6,12,17,24,29
40,정키 나이트 타운 오케스트라,ジャンキ?ナイトタウンオ?ケストラ ,すりぃ,2020. 10. 12. ,6,13,18,26,31
41,미라클 페인트,ミラクルペイント ,OSTER project,2020. 10. 13. ,9,12,18,25,30
42,on the rocks,on the rocks,OSTER project,2020. 10. 14. ,7,11,16,23,27
43,휴대연화,携??話 ,まふまふ,2020. 10. 15. ,8,12,18,25,29
